category,title,credits,prerequisites,description
FINE AND PERFORMING ARTS,FPA 540 Internship in Fine and Performing Arts,1 to 15 cr,"Prerequisite: FPA junior/senior status, department approval","An opportunity to work in an arts-related job. Work situations might include: a position in a theatre company; collections management or educational outreach employment in a museum; assisting in the management of a community music ensemble or a school music program; work with development, publicity, programming, and publication for an arts council, gallery, or other arts business. Only 3 credits can be applied to FPA major requirements."
FRENCH,FREN 101 Elementary French I ,3 cr,Prerequisite: None,"Introduces spoken and written French, emphasizing comprehension and communication. Classroom time devoted primarily to listening and speaking, with some reading. Vocabulary presented and illustrated in meaningful contexts. Lab assignments provide practice in writing as well as additional opportunities to hear and read French. First half of a one-year course; intended for those who have no prior experience with French. Conducted in French."
FRENCH,FREN 102 Elementary French II ,3 cr,Prerequisite: FREN 101 or department approval,"Improves fundamental skills of understanding, speaking, reading and writing French. Students will increase their command of the standard topics of French grammar. Short readings will enhance understanding and appreciation of French-speaking cultures and provide topics of conversation. Second half of a one-year course. Conducted in French. Course attributes: CLA."
FRENCH,FREN 201 Intermediate French I ,3 cr,Prerequisite: FREN 102 or equivalent,"Reviews first-year college French (or high-school equivalent) with a view toward building competence and confidence in students who have been exposed to the basics of the language. Exploration of selected themes in the modern French-speaking world, as well as intensive exercises in the oral and written language. Readings, discussions and brief essays on topics related to French culture. Conducted in French."
FRENCH,FREN 202 Intermediate French II ,3 cr,Prerequisite: FREN 201 or department approval,Presents a selection of French literary works and cultivates skills necessary to read and discuss them with understanding and appreciation. Reviews and expands grammar and vocabulary. Provides opportunities to learn and apply fundamentals of literary analysis and criticism. Readings include the major genres and represent a range of French-speaking countries.
FRENCH,FREN 390 Special Topics in Francophone Studies ,3 cr,Prerequisite: FREN 201 or department approval,"Studies a specific aspect of the French language and/or a particular Francophone culture in depth. Designed to provide advanced work in selected areas of study. Course topic is identified by subtitle and may include areas such as French society and culture, Francophone groups outside of France, French linguistics and Francophone literature or film. Taught in French unless otherwise noted. May be repeated for credit with a change in topic."
HISTORY,HIST 103 Pre-Modern World Civilization ,3 cr,Prerequisite: None,"Studies the cultural and historical traditions of the major geographical regions of the pre-modern world up to 1492: Greece and Rome, South and Southeast Asia, East Asia, the Middle East, Africa, Europe and the Americas. Emphasis will be placed on such factors as international trade routes, the spread of ideas and religions, and the formation of state-systems that became the basis of the post-1492 world."
HISTORY,HIST 104 Modern World Civilization ,3 cr,Prerequisite: None,"Provides an introductory historical survey of the major events, ideas and people which have shaped world civilizations since 1500, the beginning of the modern era of history. Takes a comparative, interdisciplinary, and nonEurocentric approach to historical analysis emphasizing diversity and global awareness. Course attributes: CHH."
HISTORY,HIST 200 Research and Bibliography ,3 cr,"Prerequisite: HIST 103, HIST 104 or department approval","Acquaints students with the methods and materials of basic bibliography and research. Introduces a variety of reference sources such as bibliographies, periodical indexes, government publications, handbooks, computer databases and CD-ROMs."
HISTORY,HIST 203 United States History to 1877 ,3 cr,Prerequisite: None,"Focuses on the development of American political, economic, social, philosophical and cultural values and institutions from Colonial beginnings up to 1877. Sufficient emphasis will be placed on the Massachusetts and federal constitutions to meet the state requirement. Course attributes: CHH."
HISTORY,HIST 204 United States History after 1877 ,3 cr,Prerequisite: None,"Focuses on the development of American political, economic, social, philosophical and cultural values and institutions from 1877 to the present. Sufficient emphasis will be placed on the Massachusetts and Federal constitutions to meet the state requirement. Course attributes: CHH."
HISTORY,HIST 205 Historiography ,3 cr,Prerequisite: HIST 200,"Provides students, in seminar style, with an introduction to the classic issues and interpretations in the study of U.S. and world history and political theory. Through readings, research and discussion, students will become familiar with important primary sources and major contributions of scholars."
HISTORY,HIST 305 Topics in European History ,3 cr,Prerequisite: Junior/senior status,"Focuses on either the histories of particular European nations or a chronological period, issue or theme in European history. Emphasis will be placed on a comprehensive understanding of the subject matter as well as developing skills in reading historical sources, research, writing and oral communication. Possible topics include: Europe in the 20th century; History of Britain; History of Russia; History of France; Ancient Greece & Rome."
HISTORY,HIST 310 Topics in Asian History ,3 cr,Prerequisite: Junior/senior status,"Focuses on either the histories of particular Asian nations or a chronological period, issue or theme in Asian history. Emphasis will be placed on a comprehensive understanding of the subject matter, as well as developing skills in reading historical sources, research, writing and oral communication. Possible topics include: History of Japan; History of India; Chinese Culture and Civilization; and the United States and China. Course attributes: CRCU, SOCJ."
HISTORY,HIST 315 Topics in American Studies ,3 cr,Prerequisite: Junior/senior status,"Studies areas and concepts in United States history and politics. Students will gain a more advanced, interdisciplinary, in-depth understanding of United States history, politics, values and economics. Topics include: The City in American Life; A History of New England; United States Diplomatic History; American Values; Women in American History; America and the Sea; Politics of Prejudice; The Cold War; Environmental History."
HISTORY,HIST 320 Topics in United States History ,3 cr,Prerequisite: Junior/senior status,"Focuses on a chronological period, issue, or theme in the history of the United States. Emphasis will be placed on a comprehensive understanding of the subject matter, as well as developing skills in reading historical sources, research, writing and oral communication. Possible topics include: The Civil War; Immigration and Ethnicity; The Civil Rights Movement; US & WWII; New England History."
