description,title,prerequisites,schedule_type,levels,department
"Topics include: polynomial and rational functions, exponential and logarithmic functions, trigonometric functions, parametric equations, analytic trigonometry, multivariable systems, and applications and modeling.",MATH 1500 - PRECALCULUS,MATH1000 - College Mathematics,Lecture,Undergraduate,Applied Mathematics
"Problems, methods, and recent developments in applied mathematics will be discussed. Topics include, but are not limited to, the following: difference equations, fitting models to data and choosing a best model, probabalistic models, sequential decisions and conditional probability and game theory. Students will gain familiarity with technical word processors such as LaTeX, spreadsheet software and also with high level programming packages such as python, R, and MATLAB. Students will also hear guest speakers describe the role that mathematics plays in their respective careers.",MATH 1550 - FOUNDATIONS OF APPLIED MATH,,Lecture,Undergraduate,Applied Mathematics
"Problems, methods, and recent developments in applied mathematics will be discussed. Topics include, but are not limited to, the following: monte carlo simulations, differential equations and systems of differential equations, and Euler's method. Students will also hear guest speakers describe the role that mathematics plays in their respective careers This course can be taken before Foundations of Applied Math I.",MATH 1575 - FOUNDATIONS OF APPLIED MATH II,,Lecture,Undergraduate,Applied Mathematics
"Topics include: introduction to limits, definition of the derivative, differentiation of algebraic and transcendental functions, implicit differentiation, applications of the derivative and introduction to integration.",MATH 1700 - CALCULUS I,MATH1065 - College Math C or MATH1500 - Precalculus,Lecture,Undergraduate,Applied Mathematics
"Limits, continuity, differentiability, the limit definition of the derivative, differentiation, linearization and some integration of algebraic and transcendental functions, implicit differentiation. Intended for engineering majors or advanced technology students.",MATH 1750 - ENGINEERING CALCULUS I,,Lecture,Undergraduate,Applied Mathematics
"This course provides additional enrichment applications for students enrolled in MATH1750, Engineering Calculus I. Students will take leadership roles in this class to work on advanced application problems and look at how Engineering Calculus I fits in with the rest of their major's curriculum.",MATH 1755 - APPLICATIONS IN ENG CALCULUS I,MATH1750 - Engineering Calculus I,Lecture,Undergraduate,Applied Mathematics
"Limits (including L'Hopital's Rule), continuity, differentiability, the limit definition of the derivative, differentiation of algebraic and transcendental functions. Integrates symbolic tools, graphical concepts, data and numerical calculations. Students will model engineering and scientific problems in lecture and lab.",MATH 1775 - INTEGRATED ENG CALCULUS I,,"Laboratory, Lecture",Undergraduate,Applied Mathematics
"Techniques of integration, the fundamental theorem of calculus, area, L'Hopital's Rule, improper integrals, and applications of definite integrals.",MATH 1800 - CALCULUS II,MATH1700 - Calculus I,Lecture,Undergraduate,Applied Mathematics
"Topics include: sequences, summing an infinite series, convergence of sequences and series, power series and Taylor Series. This course is for students who are transferring into an engineering major who have taken MATH1800 (a Calculus II course without sequences and series). This course and MATH1800, Calculus II, are the equivalent of MATH1850, Engineering Calculus II.",MATH 1802 - SEQUENCES AND SERIES,MATH1800 - Calculus II,Lecture,Undergraduate,Applied Mathematics
"Define integrals as a limit of Riemann sums, computation of definite and indefinite integrals using the techniques of integration, improper integrals, convergence of sequences and series, and approximating functions and estimating the error using Taylor and Maclaurin series.",MATH 1850 - ENGINEERING CALCULUS II,MATH1750 - Engineering Calculus I,Lecture,Undergraduate,Applied Mathematics
"Define integrals as a limit of Reimann sums, computation of definite and indefinite integrals using the techniques of integration, improper integrals, convergence of sequences and series, including Taylor series. Integrates symbolic tools, graphical concepts, data and numerical calculations. Students will model engineering and scientific problems in lecture and lab.",MATH 1875 - INTEGRATED ENG CALCULUS II,MATH1775 - Integrated Engineering Calculus I,Lecture,Undergraduate,Applied Mathematics
"This course serves as an introduction to the field of operations research (OR). The course will cover basic deterministic (non-probabilistic) methods of operations research (linear programming, network flows, and integer programming) and their applications to resource allocation problems in business and networking.",MATH 1900 - INTRO TO OPERATIONS RESEARCH,MATH1500 - Precalculus or MATH2800 - Finite Math,Lecture,Undergraduate,Applied Mathematics
"Three dimensional Cartesian coordinate system, vectors, lines in three dimensions, planes and other surfaces, partial derivatives, directional derivatives, local extrema, polar coordinates, and multiple integrals in Cartesian and polar coordinates.",MATH 2000 - CALCULUS III,MATH1800 - Calculus II,Lecture,Undergraduate,Applied Mathematics
"Topics include: vector fields, line integrals, and Green's Theorem. This course is for students who are transferring into an engineering major who have taken MATH2000 (a Calculus III course without vector fields and line integrals). This course and MATH2000, Calculus III, are the equivalent of MATH2025, Multivariable Calculus.",MATH 2002 - VECTOR FIELDS & LINE INTEGRALS,MATH2000 - Calculus III,Lecture,Undergraduate,Applied Mathematics
"Three dimensional Cartesian coordinate system, vectors, lines in three dimensions, planes and other surfaces, partial derivatives, directional derivatives, local extrema, polar coordinates, and multiple integrals in Cartesian and polar coordinates, vector fields, line integrals, and Green's Theorem.",MATH 2025 - MULTIVARIABLE CALCULUS,MATH1850 - Engineering Calculus II or MATH1875 - Integrated Engineering Calculus II,Lecture,Undergraduate,Applied Mathematics
